,Segment,Cluster,Total_Flights,Redemption_Rate
301,Frequent_Non_Redeemers,1,264.1,0.16392570810458268
302,Engaged_Redeemers,0,218.3,0.5545887061934806
303,Engaged_Redeemers,0,207.8,0.5906211555522747
305,Engaged_Redeemers,0,141.3,0.39274960655572777
306,Frequent_Non_Redeemers,1,249.7,0.2784620984927994
307,Frequent_Non_Redeemers,1,299.1,0.348205147346274
308,Frequent_Non_Redeemers,1,119.6,0.11643664521416437
309,Engaged_Redeemers,0,156.8,0.37351473197732776
310,Engaged_Redeemers,0,316.7,0.42716820741850486
312,Engaged_Redeemers,0,195.0,0.8412118422610072
313,Engaged_Redeemers,0,195.6,0.5051666020708246
314,Engaged_Redeemers,0,207.5,0.3783767300579158
315,Engaged_Redeemers,0,136.9,1.0
316,Engaged_Redeemers,0,199.3,0.46762361333899605
317,Frequent_Non_Redeemers,1,214.1,0.11987271696961772
318,Frequent_Non_Redeemers,1,268.6,0.26403355352388397
319,Frequent_Non_Redeemers,1,150.8,0.17567674457108354
320,Frequent_Non_Redeemers,1,188.8,0.3035494576060156
321,Engaged_Redeemers,0,216.4,0.36712903106491396
322,Engaged_Redeemers,0,218.4,0.7235590966733226
323,Frequent_Non_Redeemers,1,197.5,0.11663659539884896
324,Occasional_Flyers,2,51.0,0.0
325,Engaged_Redeemers,0,235.4,0.4236280141782054
326,Occasional_Flyers,2,21.0,0.0
327,Engaged_Redeemers,0,203.8,0.39193278277307
328,Frequent_Non_Redeemers,1,209.5,0.2229789235832107
330,Engaged_Redeemers,0,138.8,0.6272882747720215
331,Engaged_Redeemers,0,142.7,0.49258291209210725
332,Engaged_Redeemers,0,120.1,0.33091452883332
333,Frequent_Non_Redeemers,1,242.7,0.09247654845630905
334,Engaged_Redeemers,0,148.9,0.5720187402319817
336,Frequent_Non_Redeemers,1,200.8,0.0
337,Frequent_Non_Redeemers,1,219.6,0.21080041208502406
338,Frequent_Non_Redeemers,1,203.1,0.08408983768302004
339,Frequent_Non_Redeemers,1,249.6,0.22410501847717493
340,Frequent_Non_Redeemers,1,149.6,0.29072993013371096
341,Engaged_Redeemers,0,159.3,0.3799722452313091
342,Occasional_Flyers,2,35.0,0.4444149289414265
343,Frequent_Non_Redeemers,1,190.2,0.0
344,Frequent_Non_Redeemers,1,80.2,0.0
345,Engaged_Redeemers,0,252.2,0.6290578099884109
346,Engaged_Redeemers,0,217.0,0.517142253387216
347,Frequent_Non_Redeemers,1,255.0,0.325568901907067
348,Engaged_Redeemers,0,159.2,0.6704824012072275
349,Engaged_Redeemers,0,92.5,0.40260081072932136
350,Occasional_Flyers,2,15.0,0.0
351,Frequent_Non_Redeemers,1,182.9,0.18691135019184976
353,Engaged_Redeemers,0,227.2,0.45663456391285473
354,Engaged_Redeemers,0,142.9,0.599100130769174
355,Occasional_Flyers,2,7.0,0.0
356,Frequent_Non_Redeemers,1,165.3,0.24188119294483015
357,Engaged_Redeemers,0,234.0,0.35930696615196916
359,Frequent_Non_Redeemers,1,208.3,0.11399172953621875
360,Engaged_Redeemers,0,238.3,0.35061366226926916
361,Frequent_Non_Redeemers,1,211.1,0.0
362,Engaged_Redeemers,0,147.8,0.5147286220616916
363,Engaged_Redeemers,0,50.0,0.5105597230236584
364,Frequent_Non_Redeemers,1,158.7,0.25175486547897385
365,Frequent_Non_Redeemers,1,221.6,0.2076056395114726
366,Engaged_Redeemers,0,228.3,0.3946660543432982
367,Frequent_Non_Redeemers,1,348.4,0.26674816452320627
368,Frequent_Non_Redeemers,1,182.5,0.2059382605573193
369,Engaged_Redeemers,0,155.6,0.4781819539722927
370,Frequent_Non_Redeemers,1,172.8,0.18788788655748886
371,Frequent_Non_Redeemers,1,199.9,0.22451275002307688
374,Frequent_Non_Redeemers,1,220.7,0.0
375,Engaged_Redeemers,0,116.3,0.3436610181659752
376,Frequent_Non_Redeemers,1,166.5,0.05573826011337686
377,Engaged_Redeemers,0,215.5,0.6913020633190341
378,Engaged_Redeemers,0,191.6,0.4639875448414634
379,Engaged_Redeemers,0,90.5,0.5886131740257782
380,Occasional_Flyers,2,12.0,0.0
384,Occasional_Flyers,2,49.0,0.0
386,Engaged_Redeemers,0,212.8,0.3965334462037998
387,Engaged_Redeemers,0,156.8,0.5710909309943265
388,Engaged_Redeemers,0,175.3,0.6232435337489755
389,Frequent_Non_Redeemers,1,194.8,0.2604986154316266
391,Engaged_Redeemers,0,155.5,0.42081586781344277
392,Engaged_Redeemers,0,154.0,0.6749380542076091
393,Frequent_Non_Redeemers,1,234.8,0.0
394,Engaged_Redeemers,0,225.2,0.8093469773524092
395,Engaged_Redeemers,0,242.1,0.6516340144049527
396,Frequent_Non_Redeemers,1,215.5,0.0
397,Frequent_Non_Redeemers,1,127.2,0.0
398,Engaged_Redeemers,0,280.5,0.6645195437800728
399,Engaged_Redeemers,0,165.1,0.4479445773113757
400,Engaged_Redeemers,0,176.4,0.38422171138857736
402,Frequent_Non_Redeemers,1,200.1,0.0
403,Frequent_Non_Redeemers,1,230.2,0.33326567849176647
405,Frequent_Non_Redeemers,1,126.3,0.17672923212092193
406,Frequent_Non_Redeemers,1,150.1,0.10212327571624266
407,Frequent_Non_Redeemers,1,158.9,0.13121681625892312
408,Engaged_Redeemers,0,212.2,0.43444435700661277
409,Engaged_Redeemers,0,24.0,0.8201984821949796
410,Engaged_Redeemers,0,164.1,1.0
411,Frequent_Non_Redeemers,1,212.6,0.07192246149572536
412,Frequent_Non_Redeemers,1,206.6,0.0
413,Frequent_Non_Redeemers,1,140.8,0.2687927967251178
414,Occasional_Flyers,2,23.0,0.0
415,Engaged_Redeemers,0,203.4,0.44727566963267756
416,Engaged_Redeemers,0,175.0,0.3967002691866481
419,Frequent_Non_Redeemers,1,76.0,0.16198170902766088
420,Engaged_Redeemers,0,149.1,0.34502697544628347
422,Frequent_Non_Redeemers,1,217.8,0.09490087949541187
424,Engaged_Redeemers,0,171.7,0.6308655498231626
425,Engaged_Redeemers,0,170.5,0.516368180996832
426,Engaged_Redeemers,0,84.0,1.0
427,Frequent_Non_Redeemers,1,152.5,0.31969274778448226
428,Frequent_Non_Redeemers,1,157.5,0.18726146371124996
429,Engaged_Redeemers,0,106.1,0.5152505942963265
430,Frequent_Non_Redeemers,1,185.3,0.2554127459933415
431,Frequent_Non_Redeemers,1,66.0,0.2776481888035126
434,Frequent_Non_Redeemers,1,101.5,0.0
435,Engaged_Redeemers,0,286.4,0.5940856988067638
437,Frequent_Non_Redeemers,1,184.2,0.22328636720724349
438,Frequent_Non_Redeemers,1,140.5,0.11961603458776904
439,Engaged_Redeemers,0,182.2,0.3733059620516731
440,Frequent_Non_Redeemers,1,223.9,0.2188724526685411
441,Occasional_Flyers,2,63.0,0.0
444,Engaged_Redeemers,0,183.4,0.5125503502365804
445,Frequent_Non_Redeemers,1,151.4,0.2580802417726826
446,Frequent_Non_Redeemers,1,191.7,0.21251326005208865
447,Engaged_Redeemers,0,204.8,0.35405949407582704
448,Frequent_Non_Redeemers,1,177.7,0.1545056881179848
449,Frequent_Non_Redeemers,1,186.1,0.10766307919061051
450,Frequent_Non_Redeemers,1,179.0,0.0
451,Frequent_Non_Redeemers,1,183.5,0.0
454,Frequent_Non_Redeemers,1,215.3,0.23980023845000678
455,Engaged_Redeemers,0,54.0,1.0
457,Occasional_Flyers,2,41.0,0.0
458,Frequent_Non_Redeemers,1,185.1,0.0
460,Engaged_Redeemers,0,227.2,0.4084835637646543
461,Engaged_Redeemers,0,27.0,1.0
465,Frequent_Non_Redeemers,1,271.3,0.28085244955564553
466,Frequent_Non_Redeemers,1,93.0,0.0
467,Engaged_Redeemers,0,130.9,0.5642460993551169
468,Frequent_Non_Redeemers,1,206.5,0.09132237349850252
469,Frequent_Non_Redeemers,1,205.5,0.22519435581719316
470,Frequent_Non_Redeemers,1,208.1,0.0
471,Engaged_Redeemers,0,142.0,0.4957305043256373
472,Engaged_Redeemers,0,174.2,0.391701201266604
474,Engaged_Redeemers,0,210.7,0.5140004614030448
476,Engaged_Redeemers,0,209.8,0.4865234527544581
477,Engaged_Redeemers,0,196.0,0.42879617990497193
478,Engaged_Redeemers,0,175.5,0.6266716790807856
479,Frequent_Non_Redeemers,1,173.0,0.2621907977310181
480,Frequent_Non_Redeemers,1,221.1,0.0
481,Engaged_Redeemers,0,146.5,0.5598805503234738
482,Frequent_Non_Redeemers,1,232.4,0.0
483,Engaged_Redeemers,0,158.0,1.0
484,Engaged_Redeemers,0,141.7,0.32885342033250947
485,Frequent_Non_Redeemers,1,105.8,0.2830748633925238
488,Frequent_Non_Redeemers,1,183.4,0.0
489,Occasional_Flyers,2,61.0,0.0
490,Engaged_Redeemers,0,190.9,0.4871175475448629
491,Engaged_Redeemers,0,155.9,0.5041493108159553
492,Engaged_Redeemers,0,191.3,0.3945955874849481
495,Engaged_Redeemers,0,242.2,0.6738844026382373
497,Frequent_Non_Redeemers,1,228.1,0.0
498,Frequent_Non_Redeemers,1,257.3,0.1556446109144785
499,Engaged_Redeemers,0,231.4,0.6128888182555514
500,Engaged_Redeemers,0,40.0,0.6141710489897592
501,Engaged_Redeemers,0,132.3,0.7893893567800571
504,Engaged_Redeemers,0,190.2,0.3798737531700965
505,Engaged_Redeemers,0,121.1,0.41274966595819806
506,Engaged_Redeemers,0,197.2,0.807912285135198
507,Frequent_Non_Redeemers,1,213.5,0.3296823150257698
508,Engaged_Redeemers,0,233.9,1.0
510,Engaged_Redeemers,0,254.1,0.40807834841301854
511,Engaged_Redeemers,0,185.4,0.420913112786803
512,Frequent_Non_Redeemers,1,170.6,0.13261540241042263
513,Frequent_Non_Redeemers,1,151.0,0.2532968041318197
514,Engaged_Redeemers,0,173.5,0.5107768488033337
515,Engaged_Redeemers,0,225.2,0.7614145983357703
516,Frequent_Non_Redeemers,1,206.3,0.0
517,Engaged_Redeemers,0,180.2,0.5534970415941666
518,Occasional_Flyers,2,64.0,0.0
519,Frequent_Non_Redeemers,1,104.3,0.0
520,Occasional_Flyers,2,60.0,0.0
521,Engaged_Redeemers,0,193.9,0.4515934654525977
522,Engaged_Redeemers,0,196.2,0.4945658133219812
523,Frequent_Non_Redeemers,1,239.0,0.281162806611687
524,Engaged_Redeemers,0,218.5,0.6212268104550422
526,Engaged_Redeemers,0,177.1,0.48680063078444036
527,Frequent_Non_Redeemers,1,189.4,0.10634802809967571
528,Engaged_Redeemers,0,167.4,0.43542576269548405
529,Engaged_Redeemers,0,118.4,0.40232101698659806
532,Occasional_Flyers,2,24.0,0.0
533,Frequent_Non_Redeemers,1,241.7,0.17829894432613028
534,Frequent_Non_Redeemers,1,146.3,0.0
535,Engaged_Redeemers,0,185.5,0.8907026019099425
536,Frequent_Non_Redeemers,1,252.4,0.20584480709585784
537,Engaged_Redeemers,0,375.4,0.4388047930060814
538,Frequent_Non_Redeemers,1,160.7,0.23721464755772326
539,Frequent_Non_Redeemers,1,205.0,0.29719831569518473
540,Frequent_Non_Redeemers,1,207.1,0.0
542,Frequent_Non_Redeemers,1,221.8,0.16457262716308338
543,Frequent_Non_Redeemers,1,179.2,0.26676727401521755
544,Frequent_Non_Redeemers,1,96.1,0.29158073481283014
545,Occasional_Flyers,2,18.0,0.0
546,Occasional_Flyers,2,12.0,0.0
547,Frequent_Non_Redeemers,1,175.6,0.11444980650181551
548,Engaged_Redeemers,0,243.3,0.9041395953220716
549,Frequent_Non_Redeemers,1,347.0,0.29773838284412996
550,Engaged_Redeemers,0,267.4,0.8215520746143727
551,Frequent_Non_Redeemers,1,227.6,0.08395047819119622
552,Frequent_Non_Redeemers,1,184.1,0.23077265798292318
553,Frequent_Non_Redeemers,1,193.8,0.0
556,Engaged_Redeemers,0,129.4,0.7048988073807044
558,Frequent_Non_Redeemers,1,274.9,0.1183072315373291
559,Frequent_Non_Redeemers,1,81.0,0.0
560,Frequent_Non_Redeemers,1,214.0,0.2809135093742023
562,Frequent_Non_Redeemers,1,215.6,0.11039765589408727
564,Engaged_Redeemers,0,204.1,0.40891403375964513
565,Frequent_Non_Redeemers,1,179.9,0.0
566,Engaged_Redeemers,0,145.9,0.601425467982936
567,Frequent_Non_Redeemers,1,302.5,0.218999381719967
568,Frequent_Non_Redeemers,1,251.0,0.2976244667164417
569,Frequent_Non_Redeemers,1,196.6,0.26596231930030084
570,Engaged_Redeemers,0,135.4,0.6301893546837707
571,Frequent_Non_Redeemers,1,201.2,0.0
572,Frequent_Non_Redeemers,1,151.7,0.09581997873091304
573,Frequent_Non_Redeemers,1,171.8,0.1582954783717426
574,Engaged_Redeemers,0,26.0,0.8236079328756675
576,Frequent_Non_Redeemers,1,259.9,0.21156420465808337
577,Frequent_Non_Redeemers,1,167.3,0.0
580,Frequent_Non_Redeemers,1,230.0,0.291211641937113
582,Frequent_Non_Redeemers,1,178.6,0.1848016386126718
583,Frequent_Non_Redeemers,1,161.1,0.0
584,Engaged_Redeemers,0,185.2,0.4758736417092347
585,Frequent_Non_Redeemers,1,233.5,0.3311778339992596
586,Engaged_Redeemers,0,34.0,0.584125580367013
587,Frequent_Non_Redeemers,1,199.9,0.33178255876946305
589,Frequent_Non_Redeemers,1,123.7,0.22800480087431088
590,Frequent_Non_Redeemers,1,112.2,0.0
591,Engaged_Redeemers,0,167.4,0.5550071302713157
592,Engaged_Redeemers,0,153.0,0.4630231402574227
593,Frequent_Non_Redeemers,1,89.9,0.0
594,Engaged_Redeemers,0,210.3,0.7184281166539327
595,Frequent_Non_Redeemers,1,226.4,0.12318200451503761
596,Frequent_Non_Redeemers,1,197.6,0.138467233146657
