Loyalty#,Segment,Cluster,Total_Flights,Redemption_Rate
425854,Frequent_Non_Redeemers,1,199.2,0.27908867789156944
695855,Frequent_Non_Redeemers,1,162.8,0.17119140418596607
699511,Frequent_Non_Redeemers,1,165.3,0.0
377322,Engaged_Redeemers,0,258.3,0.6319250529360879
511053,Engaged_Redeemers,0,172.6,0.3428009435481404
890753,Engaged_Redeemers,0,92.4,1.0
796670,Frequent_Non_Redeemers,1,260.1,0.193329910990793
556136,Frequent_Non_Redeemers,1,191.6,0.15483267308578288
513081,Engaged_Redeemers,0,141.2,0.615429033691592
930718,Frequent_Non_Redeemers,1,252.5,0.331508656230716
235872,Engaged_Redeemers,0,215.9,0.6962371057972575
295147,Engaged_Redeemers,0,158.2,0.5687613735846375
306110,Engaged_Redeemers,0,128.6,0.6274859658671854
295217,Engaged_Redeemers,0,134.5,0.7748734087648761
591731,Frequent_Non_Redeemers,1,232.0,0.20204604137151128
326905,Frequent_Non_Redeemers,1,179.3,0.2201818735049178
375511,Frequent_Non_Redeemers,1,261.0,0.34909030075653935
485283,Frequent_Non_Redeemers,1,81.4,0.23007213166226742
760158,Occasional_Flyers,2,59.0,0.17467659174676592
797685,Engaged_Redeemers,0,142.3,0.674641972818257
216467,Frequent_Non_Redeemers,1,159.8,0.18432001510926843
958839,Occasional_Flyers,2,31.0,0.0
746226,Occasional_Flyers,2,20.0,0.0
484718,Engaged_Redeemers,0,179.0,0.5534076274293702
995091,Occasional_Flyers,2,57.9,0.30834511171019025
632793,Frequent_Non_Redeemers,1,163.2,0.22401120963862922
705196,Engaged_Redeemers,0,271.8,0.3781990729998099
123094,Frequent_Non_Redeemers,1,79.0,0.17604217243531942
821515,Occasional_Flyers,2,22.0,0.0
119488,Frequent_Non_Redeemers,1,158.5,0.0
287750,Engaged_Redeemers,0,213.7,0.5671695933811037
735846,Engaged_Redeemers,0,166.2,0.5654062427902243
606026,Frequent_Non_Redeemers,1,250.7,0.2864424040743483
460291,Frequent_Non_Redeemers,1,205.6,0.0
743001,Engaged_Redeemers,0,123.4,0.5291707687819429
869799,Frequent_Non_Redeemers,1,120.4,0.24774064484750158
279419,Engaged_Redeemers,0,427.7,0.5490235190714549
170585,Frequent_Non_Redeemers,1,178.7,0.16807504808732354
188340,Engaged_Redeemers,0,231.4,0.40271766886799293
670817,Frequent_Non_Redeemers,1,224.5,0.1984698067933434
509513,Frequent_Non_Redeemers,1,232.8,0.22836457324015075
779247,Frequent_Non_Redeemers,1,253.20000000000002,0.12249232775795584
111255,Frequent_Non_Redeemers,1,218.8,0.0
763061,Frequent_Non_Redeemers,1,106.7,0.3086210043316526
509108,Occasional_Flyers,2,31.0,0.0
428919,Frequent_Non_Redeemers,1,168.7,0.0
139863,Engaged_Redeemers,0,153.5,0.3780637857043243
355331,Engaged_Redeemers,0,263.7,1.0
578837,Frequent_Non_Redeemers,1,146.1,0.2918322057852286
601407,Frequent_Non_Redeemers,1,157.2,0.0
700871,Frequent_Non_Redeemers,1,203.9,0.0
705589,Frequent_Non_Redeemers,1,263.6,0.06665129884582366
354438,Occasional_Flyers,2,40.0,0.3274159103043246
746060,Frequent_Non_Redeemers,1,231.3,0.1523862291551994
469718,Frequent_Non_Redeemers,1,193.7,0.18463253424450057
164429,Engaged_Redeemers,0,214.2,0.5108122495179023
708373,Frequent_Non_Redeemers,1,222.8,0.0
225088,Frequent_Non_Redeemers,1,161.3,0.0
100214,Engaged_Redeemers,0,112.3,0.3540990657738343
459999,Engaged_Redeemers,0,106.9,0.3528424463581251
268128,Engaged_Redeemers,0,222.8,0.40134149320340917
930584,Frequent_Non_Redeemers,1,196.3,0.22544504450128006
327796,Frequent_Non_Redeemers,1,120.5,0.10287325853151581
947467,Engaged_Redeemers,0,201.1,0.5047461047734697
743510,Frequent_Non_Redeemers,1,135.3,0.13079227942277327
580324,Engaged_Redeemers,0,121.8,0.4153472304123914
936088,Frequent_Non_Redeemers,1,219.6,0.0
423324,Occasional_Flyers,2,35.0,0.0
101945,Frequent_Non_Redeemers,1,194.3,0.2708329193183765
713636,Frequent_Non_Redeemers,1,192.8,0.10698583549624545
302509,Frequent_Non_Redeemers,1,127.1,0.0
789421,Frequent_Non_Redeemers,1,165.7,0.0
404426,Engaged_Redeemers,0,123.4,0.37650159956013024
154643,Frequent_Non_Redeemers,1,194.9,0.14158294974164923
438023,Frequent_Non_Redeemers,1,122.4,0.0
872932,Frequent_Non_Redeemers,1,190.6,0.1745048249414742
407945,Frequent_Non_Redeemers,1,246.3,0.2288511358058191
211714,Engaged_Redeemers,0,259.4,0.6944492486396893
410982,Engaged_Redeemers,0,216.2,0.6059507816921152
905213,Engaged_Redeemers,0,154.2,0.6987455721807131
147898,Engaged_Redeemers,0,202.7,0.4472184771133502
610946,Engaged_Redeemers,0,211.2,0.7370215770947084
383108,Frequent_Non_Redeemers,1,182.7,0.08481769485045203
836343,Engaged_Redeemers,0,175.8,0.35762918309965547
585357,Engaged_Redeemers,0,257.4,0.4175457595630221
784804,Frequent_Non_Redeemers,1,132.9,0.0
715764,Engaged_Redeemers,0,135.7,0.8766401413122135
753473,Frequent_Non_Redeemers,1,241.7,0.0
980856,Frequent_Non_Redeemers,1,229.1,0.28558142736941844
271660,Frequent_Non_Redeemers,1,131.8,0.0
377471,Frequent_Non_Redeemers,1,199.8,0.18832044455859998
264936,Frequent_Non_Redeemers,1,194.4,0.10293228282177688
976513,Engaged_Redeemers,0,216.7,0.46052182643172845
828776,Frequent_Non_Redeemers,1,145.8,0.0
240362,Engaged_Redeemers,0,126.0,0.3184323552683498
137845,Frequent_Non_Redeemers,1,256.0,0.19612838591438544
430569,Engaged_Redeemers,0,306.4,0.42860486480477
317001,Occasional_Flyers,2,15.0,1.0
625870,Frequent_Non_Redeemers,1,225.8,0.0966400223018766
660554,Engaged_Redeemers,0,82.8,0.7439787746874792
917630,Frequent_Non_Redeemers,1,155.8,0.0
670686,Frequent_Non_Redeemers,1,138.5,0.0
717660,Frequent_Non_Redeemers,1,123.6,0.0
450621,Frequent_Non_Redeemers,1,117.1,0.18634751838609126
939562,Frequent_Non_Redeemers,1,277.4,0.11077544116051458
135250,Frequent_Non_Redeemers,1,177.6,0.19173602399217324
714555,Frequent_Non_Redeemers,1,238.3,0.26755193100899155
947868,Frequent_Non_Redeemers,1,192.9,0.3072128738856515
573661,Occasional_Flyers,2,18.0,0.0
228580,Engaged_Redeemers,0,165.9,0.7752170778996862
557500,Engaged_Redeemers,0,225.7,0.4272021157230991
238233,Frequent_Non_Redeemers,1,131.9,0.0
979309,Frequent_Non_Redeemers,1,213.8,0.20493266713288458
885497,Engaged_Redeemers,0,38.0,1.0
833569,Frequent_Non_Redeemers,1,87.5,0.21255543785721767
120046,Engaged_Redeemers,0,84.1,0.38530643051985036
816881,Frequent_Non_Redeemers,1,213.1,0.27893284822843384
717700,Frequent_Non_Redeemers,1,239.9,0.3421504892727239
962278,Engaged_Redeemers,0,49.0,0.4035913719478813
245465,Engaged_Redeemers,0,219.7,0.5379531314113605
510372,Occasional_Flyers,2,7.0,0.0
709920,Frequent_Non_Redeemers,1,167.0,0.18318477502525665
143784,Engaged_Redeemers,0,239.9,0.4317572847328968
870998,Frequent_Non_Redeemers,1,240.7,0.2966585748964729
958224,Frequent_Non_Redeemers,1,204.9,0.23765780880609533
837628,Engaged_Redeemers,0,180.8,0.3511737665105872
395460,Engaged_Redeemers,0,229.6,0.38287624532364284
136547,Frequent_Non_Redeemers,1,169.8,0.0
780631,Occasional_Flyers,2,11.0,0.0
166712,Frequent_Non_Redeemers,1,196.8,0.10891681227886713
217695,Engaged_Redeemers,0,218.5,0.43040915471070873
263707,Frequent_Non_Redeemers,1,85.1,0.24810042236719076
638368,Frequent_Non_Redeemers,1,184.7,0.0
695529,Engaged_Redeemers,0,218.8,0.4292349136981594
871203,Engaged_Redeemers,0,88.0,0.5316045380875203
915571,Frequent_Non_Redeemers,1,86.7,0.1554839919253737
642109,Frequent_Non_Redeemers,1,234.3,0.1883505134534323
833701,Engaged_Redeemers,0,211.2,0.43706419738393254
275442,Frequent_Non_Redeemers,1,187.4,0.2174085006451765
374345,Engaged_Redeemers,0,254.8,0.5590517922887539
384825,Engaged_Redeemers,0,207.1,0.36895758731103373
559233,Occasional_Flyers,2,20.0,0.8267705953500873
564650,Engaged_Redeemers,0,188.4,0.5703232477000842
277649,Engaged_Redeemers,0,206.7,0.5448426090174543
732013,Engaged_Redeemers,0,213.3,0.37604380717235714
793318,Engaged_Redeemers,0,239.5,0.438396463144817
830024,Frequent_Non_Redeemers,1,153.9,0.28161251377880425
223684,Occasional_Flyers,2,6.0,0.0
723262,Occasional_Flyers,2,16.0,0.0
879892,Occasional_Flyers,2,65.0,0.0
966117,Engaged_Redeemers,0,169.2,0.6205985804568782
265836,Engaged_Redeemers,0,138.5,0.36257480984952195
202299,Frequent_Non_Redeemers,1,182.9,0.09967902643712248
497467,Frequent_Non_Redeemers,1,204.7,0.10161321967489627
134279,Engaged_Redeemers,0,43.0,0.7633788901696031
635225,Frequent_Non_Redeemers,1,205.6,0.28634732094844756
980198,Frequent_Non_Redeemers,1,121.6,0.3130056613928696
995693,Occasional_Flyers,2,34.0,0.0
861924,Engaged_Redeemers,0,174.4,0.40863439947909475
639383,Occasional_Flyers,2,18.0,0.0
769731,Engaged_Redeemers,0,142.6,0.48141252175905885
884530,Engaged_Redeemers,0,39.0,0.6275197195442594
207372,Frequent_Non_Redeemers,1,90.0,0.0
543553,Occasional_Flyers,2,8.0,0.0
639701,Engaged_Redeemers,0,238.0,0.47157798074093416
998090,Engaged_Redeemers,0,176.6,0.4580525222981782
283747,Engaged_Redeemers,0,204.0,0.5728830019205171
863122,Frequent_Non_Redeemers,1,72.0,0.28984212094131667
816593,Engaged_Redeemers,0,187.1,0.6429066307480565
440939,Frequent_Non_Redeemers,1,158.6,0.0
585629,Frequent_Non_Redeemers,1,264.1,0.16392570810458268
347932,Engaged_Redeemers,0,218.3,0.5545887061934806
417886,Engaged_Redeemers,0,207.8,0.5906211555522747
203550,Engaged_Redeemers,0,141.3,0.39274960655572777
181825,Frequent_Non_Redeemers,1,249.7,0.2784620984927994
261582,Frequent_Non_Redeemers,1,299.1,0.348205147346274
679859,Frequent_Non_Redeemers,1,119.6,0.11643664521416437
924724,Engaged_Redeemers,0,156.8,0.37351473197732776
122958,Engaged_Redeemers,0,316.7,0.42716820741850486
149549,Engaged_Redeemers,0,195.0,0.8412118422610072
652291,Engaged_Redeemers,0,195.6,0.5051666020708246
603775,Engaged_Redeemers,0,207.5,0.3783767300579158
948404,Engaged_Redeemers,0,136.9,1.0
605877,Engaged_Redeemers,0,199.3,0.46762361333899605
994377,Frequent_Non_Redeemers,1,214.1,0.11987271696961772
766927,Frequent_Non_Redeemers,1,268.6,0.26403355352388397
172610,Frequent_Non_Redeemers,1,150.8,0.17567674457108354
702588,Frequent_Non_Redeemers,1,188.8,0.3035494576060156
798248,Engaged_Redeemers,0,216.4,0.36712903106491396
641448,Engaged_Redeemers,0,218.4,0.7235590966733226
406047,Frequent_Non_Redeemers,1,197.5,0.11663659539884896
538902,Occasional_Flyers,2,51.0,0.0
805110,Engaged_Redeemers,0,235.4,0.4236280141782054
883242,Occasional_Flyers,2,21.0,0.0
909134,Engaged_Redeemers,0,203.8,0.39193278277307
294753,Frequent_Non_Redeemers,1,209.5,0.2229789235832107
120613,Engaged_Redeemers,0,138.8,0.6272882747720215
520094,Engaged_Redeemers,0,142.7,0.49258291209210725
754539,Engaged_Redeemers,0,120.1,0.33091452883332
189611,Frequent_Non_Redeemers,1,242.7,0.09247654845630905
971599,Engaged_Redeemers,0,148.9,0.5720187402319817
521384,Frequent_Non_Redeemers,1,200.8,0.0
128039,Frequent_Non_Redeemers,1,219.6,0.21080041208502406
565133,Frequent_Non_Redeemers,1,203.1,0.08408983768302004
947876,Frequent_Non_Redeemers,1,249.6,0.22410501847717493
138746,Frequent_Non_Redeemers,1,149.6,0.29072993013371096
564707,Engaged_Redeemers,0,159.3,0.3799722452313091
383898,Occasional_Flyers,2,35.0,0.4444149289414265
174996,Frequent_Non_Redeemers,1,190.2,0.0
798854,Frequent_Non_Redeemers,1,80.2,0.0
800075,Engaged_Redeemers,0,252.2,0.6290578099884109
410384,Engaged_Redeemers,0,217.0,0.517142253387216
692304,Frequent_Non_Redeemers,1,255.0,0.325568901907067
991672,Engaged_Redeemers,0,159.2,0.6704824012072275
344180,Engaged_Redeemers,0,92.5,0.40260081072932136
703338,Occasional_Flyers,2,15.0,0.0
922388,Frequent_Non_Redeemers,1,182.9,0.18691135019184976
655743,Engaged_Redeemers,0,227.2,0.45663456391285473
787472,Engaged_Redeemers,0,142.9,0.599100130769174
667687,Occasional_Flyers,2,7.0,0.0
348920,Frequent_Non_Redeemers,1,165.3,0.24188119294483015
523394,Engaged_Redeemers,0,234.0,0.35930696615196916
981581,Frequent_Non_Redeemers,1,208.3,0.11399172953621875
639510,Engaged_Redeemers,0,238.3,0.35061366226926916
744675,Frequent_Non_Redeemers,1,211.1,0.0
289177,Engaged_Redeemers,0,147.8,0.5147286220616916
420890,Engaged_Redeemers,0,50.0,0.5105597230236584
357149,Frequent_Non_Redeemers,1,158.7,0.25175486547897385
876207,Frequent_Non_Redeemers,1,221.6,0.2076056395114726
224384,Engaged_Redeemers,0,228.3,0.3946660543432982
650445,Frequent_Non_Redeemers,1,348.4,0.26674816452320627
399982,Frequent_Non_Redeemers,1,182.5,0.2059382605573193
228984,Engaged_Redeemers,0,155.6,0.4781819539722927
221388,Frequent_Non_Redeemers,1,172.8,0.18788788655748886
710053,Frequent_Non_Redeemers,1,199.9,0.22451275002307688
836475,Frequent_Non_Redeemers,1,220.7,0.0
901002,Engaged_Redeemers,0,116.3,0.3436610181659752
450979,Frequent_Non_Redeemers,1,166.5,0.05573826011337686
392235,Engaged_Redeemers,0,215.5,0.6913020633190341
529218,Engaged_Redeemers,0,191.6,0.4639875448414634
549132,Engaged_Redeemers,0,90.5,0.5886131740257782
782523,Occasional_Flyers,2,12.0,0.0
604116,Occasional_Flyers,2,49.0,0.0
561092,Engaged_Redeemers,0,212.8,0.3965334462037998
234866,Engaged_Redeemers,0,156.8,0.5710909309943265
721984,Engaged_Redeemers,0,175.3,0.6232435337489755
772397,Frequent_Non_Redeemers,1,194.8,0.2604986154316266
344199,Engaged_Redeemers,0,155.5,0.42081586781344277
909385,Engaged_Redeemers,0,154.0,0.6749380542076091
211043,Frequent_Non_Redeemers,1,234.8,0.0
459801,Engaged_Redeemers,0,225.2,0.8093469773524092
958243,Engaged_Redeemers,0,242.1,0.6516340144049527
517758,Frequent_Non_Redeemers,1,215.5,0.0
712062,Frequent_Non_Redeemers,1,127.2,0.0
845945,Engaged_Redeemers,0,280.5,0.6645195437800728
324707,Engaged_Redeemers,0,165.1,0.4479445773113757
184635,Engaged_Redeemers,0,176.4,0.38422171138857736
432598,Frequent_Non_Redeemers,1,200.1,0.0
524483,Frequent_Non_Redeemers,1,230.2,0.33326567849176647
257575,Frequent_Non_Redeemers,1,126.3,0.17672923212092193
352834,Frequent_Non_Redeemers,1,150.1,0.10212327571624266
127590,Frequent_Non_Redeemers,1,158.9,0.13121681625892312
846374,Engaged_Redeemers,0,212.2,0.43444435700661277
651054,Engaged_Redeemers,0,24.0,0.8201984821949796
776956,Engaged_Redeemers,0,164.1,1.0
130368,Frequent_Non_Redeemers,1,212.6,0.07192246149572536
752331,Frequent_Non_Redeemers,1,206.6,0.0
986825,Frequent_Non_Redeemers,1,140.8,0.2687927967251178
882024,Occasional_Flyers,2,23.0,0.0
981343,Engaged_Redeemers,0,203.4,0.44727566963267756
101581,Engaged_Redeemers,0,175.0,0.3967002691866481
329358,Frequent_Non_Redeemers,1,76.0,0.16198170902766088
497494,Engaged_Redeemers,0,149.1,0.34502697544628347
361816,Frequent_Non_Redeemers,1,217.8,0.09490087949541187
734192,Engaged_Redeemers,0,171.7,0.6308655498231626
774724,Engaged_Redeemers,0,170.5,0.516368180996832
874161,Engaged_Redeemers,0,84.0,1.0
906396,Frequent_Non_Redeemers,1,152.5,0.31969274778448226
722976,Frequent_Non_Redeemers,1,157.5,0.18726146371124996
747304,Engaged_Redeemers,0,106.1,0.5152505942963265
613804,Frequent_Non_Redeemers,1,185.3,0.2554127459933415
995877,Frequent_Non_Redeemers,1,66.0,0.2776481888035126
237105,Frequent_Non_Redeemers,1,101.5,0.0
395026,Engaged_Redeemers,0,286.4,0.5940856988067638
894466,Frequent_Non_Redeemers,1,184.2,0.22328636720724349
610393,Frequent_Non_Redeemers,1,140.5,0.11961603458776904
800726,Engaged_Redeemers,0,182.2,0.3733059620516731
111171,Frequent_Non_Redeemers,1,223.9,0.2188724526685411
199959,Occasional_Flyers,2,63.0,0.0
779434,Engaged_Redeemers,0,183.4,0.5125503502365804
203184,Frequent_Non_Redeemers,1,151.4,0.2580802417726826
225077,Frequent_Non_Redeemers,1,191.7,0.21251326005208865
365816,Engaged_Redeemers,0,204.8,0.35405949407582704
781463,Frequent_Non_Redeemers,1,177.7,0.1545056881179848
644786,Frequent_Non_Redeemers,1,186.1,0.10766307919061051
441440,Frequent_Non_Redeemers,1,179.0,0.0
756791,Frequent_Non_Redeemers,1,183.5,0.0
819569,Frequent_Non_Redeemers,1,215.3,0.23980023845000678
428826,Engaged_Redeemers,0,54.0,1.0
518533,Occasional_Flyers,2,41.0,0.0
568547,Frequent_Non_Redeemers,1,185.1,0.0
830931,Engaged_Redeemers,0,227.2,0.4084835637646543
229204,Engaged_Redeemers,0,27.0,1.0
956005,Frequent_Non_Redeemers,1,271.3,0.28085244955564553
683361,Frequent_Non_Redeemers,1,93.0,0.0
370486,Engaged_Redeemers,0,130.9,0.5642460993551169
279919,Frequent_Non_Redeemers,1,206.5,0.09132237349850252
635249,Frequent_Non_Redeemers,1,205.5,0.22519435581719316
849415,Frequent_Non_Redeemers,1,208.1,0.0
334003,Engaged_Redeemers,0,142.0,0.4957305043256373
256323,Engaged_Redeemers,0,174.2,0.391701201266604
612555,Engaged_Redeemers,0,210.7,0.5140004614030448
353128,Engaged_Redeemers,0,209.8,0.4865234527544581
367961,Engaged_Redeemers,0,196.0,0.42879617990497193
431899,Engaged_Redeemers,0,175.5,0.6266716790807856
835491,Frequent_Non_Redeemers,1,173.0,0.2621907977310181
791355,Frequent_Non_Redeemers,1,221.1,0.0
331258,Engaged_Redeemers,0,146.5,0.5598805503234738
713329,Frequent_Non_Redeemers,1,232.4,0.0
422805,Engaged_Redeemers,0,158.0,1.0
660376,Engaged_Redeemers,0,141.7,0.32885342033250947
841677,Frequent_Non_Redeemers,1,105.8,0.2830748633925238
412854,Frequent_Non_Redeemers,1,183.4,0.0
187010,Occasional_Flyers,2,61.0,0.0
333621,Engaged_Redeemers,0,190.9,0.4871175475448629
270570,Engaged_Redeemers,0,155.9,0.5041493108159553
305171,Engaged_Redeemers,0,191.3,0.3945955874849481
496325,Engaged_Redeemers,0,242.2,0.6738844026382373
630320,Frequent_Non_Redeemers,1,228.1,0.0
304944,Frequent_Non_Redeemers,1,257.3,0.1556446109144785
615662,Engaged_Redeemers,0,231.4,0.6128888182555514
887192,Engaged_Redeemers,0,40.0,0.6141710489897592
540497,Engaged_Redeemers,0,132.3,0.7893893567800571
336341,Engaged_Redeemers,0,190.2,0.3798737531700965
465530,Engaged_Redeemers,0,121.1,0.41274966595819806
600598,Engaged_Redeemers,0,197.2,0.807912285135198
724720,Frequent_Non_Redeemers,1,213.5,0.3296823150257698
627489,Engaged_Redeemers,0,233.9,1.0
740762,Engaged_Redeemers,0,254.1,0.40807834841301854
527622,Engaged_Redeemers,0,185.4,0.420913112786803
984636,Frequent_Non_Redeemers,1,170.6,0.13261540241042263
110691,Frequent_Non_Redeemers,1,151.0,0.2532968041318197
737791,Engaged_Redeemers,0,173.5,0.5107768488033337
219413,Engaged_Redeemers,0,225.2,0.7614145983357703
260685,Frequent_Non_Redeemers,1,206.3,0.0
501363,Engaged_Redeemers,0,180.2,0.5534970415941666
982202,Occasional_Flyers,2,64.0,0.0
218529,Frequent_Non_Redeemers,1,104.3,0.0
691645,Occasional_Flyers,2,60.0,0.0
881157,Engaged_Redeemers,0,193.9,0.4515934654525977
426185,Engaged_Redeemers,0,196.2,0.4945658133219812
546758,Frequent_Non_Redeemers,1,239.0,0.281162806611687
270723,Engaged_Redeemers,0,218.5,0.6212268104550422
504715,Engaged_Redeemers,0,177.1,0.48680063078444036
380183,Frequent_Non_Redeemers,1,189.4,0.10634802809967571
654817,Engaged_Redeemers,0,167.4,0.43542576269548405
541078,Engaged_Redeemers,0,118.4,0.40232101698659806
948327,Occasional_Flyers,2,24.0,0.0
384269,Frequent_Non_Redeemers,1,241.7,0.17829894432613028
791852,Frequent_Non_Redeemers,1,146.3,0.0
372183,Engaged_Redeemers,0,185.5,0.8907026019099425
481857,Frequent_Non_Redeemers,1,252.4,0.20584480709585784
411523,Engaged_Redeemers,0,375.4,0.4388047930060814
765252,Frequent_Non_Redeemers,1,160.7,0.23721464755772326
539358,Frequent_Non_Redeemers,1,205.0,0.29719831569518473
697837,Frequent_Non_Redeemers,1,207.1,0.0
410921,Frequent_Non_Redeemers,1,221.8,0.16457262716308338
826304,Frequent_Non_Redeemers,1,179.2,0.26676727401521755
200077,Frequent_Non_Redeemers,1,96.1,0.29158073481283014
597897,Occasional_Flyers,2,18.0,0.0
119408,Occasional_Flyers,2,12.0,0.0
241167,Frequent_Non_Redeemers,1,175.6,0.11444980650181551
159275,Engaged_Redeemers,0,243.3,0.9041395953220716
615439,Frequent_Non_Redeemers,1,347.0,0.29773838284412996
458697,Engaged_Redeemers,0,267.4,0.8215520746143727
620465,Frequent_Non_Redeemers,1,227.6,0.08395047819119622
654578,Frequent_Non_Redeemers,1,184.1,0.23077265798292318
432451,Frequent_Non_Redeemers,1,193.8,0.0
440967,Engaged_Redeemers,0,129.4,0.7048988073807044
493677,Frequent_Non_Redeemers,1,274.9,0.1183072315373291
500374,Frequent_Non_Redeemers,1,81.0,0.0
850418,Frequent_Non_Redeemers,1,214.0,0.2809135093742023
406574,Frequent_Non_Redeemers,1,215.6,0.11039765589408727
119837,Engaged_Redeemers,0,204.1,0.40891403375964513
546039,Frequent_Non_Redeemers,1,179.9,0.0
950914,Engaged_Redeemers,0,145.9,0.601425467982936
387129,Frequent_Non_Redeemers,1,302.5,0.218999381719967
876006,Frequent_Non_Redeemers,1,251.0,0.2976244667164417
230311,Frequent_Non_Redeemers,1,196.6,0.26596231930030084
955991,Engaged_Redeemers,0,135.4,0.6301893546837707
279409,Frequent_Non_Redeemers,1,201.2,0.0
293531,Frequent_Non_Redeemers,1,151.7,0.09581997873091304
886127,Frequent_Non_Redeemers,1,171.8,0.1582954783717426
536021,Engaged_Redeemers,0,26.0,0.8236079328756675
